destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,car,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ5min,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,Y
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,50plus,Divorced,1,Some college - no degree,Management,$62500 - $74999,,,,,,,1,0,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,50plus,Divorced,1,Some college - no degree,Management,$62500 - $74999,,,,,,,1,0,0,0,1,0
No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),1d,Male,50plus,Divorced,1,Some college - no degree,Management,$62500 - $74999,,,,,,,1,1,0,0,1,1
No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Male,50plus,Divorced,1,Some college - no degree,Management,$62500 - $74999,,,,,,,1,0,0,0,1,0
No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Male,50plus,Divorced,1,Some college - no degree,Management,$62500 - $74999,,,,,,,1,0,0,0,1,1
No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2h,Male,50plus,Divorced,1,Some college - no degree,Management,$62500 - $74999,,,,,,,1,0,0,0,1,1
No Urgent Place,Partner,Sunny,80,10AM,Coffee House,2h,Male,41,Married partner,0,Bachelors degree,Unemployed,$87500 - $99999,,,,,,,1,0,0,0,1,1
No Urgent Place,Partner,Sunny,80,10AM,Restaurant(20-50),1d,Male,41,Married partner,0,Bachelors degree,Unemployed,$87500 - $99999,,,,,,,1,0,0,0,1,1
No Urgent Place,Partner,Sunny,80,10AM,Bar,2h,Male,41,Married partner,0,Bachelors degree,Unemployed,$87500 - $99999,,,,,,,1,0,0,0,1,0
No Urgent Place,Partner,Sunny,80,10AM,Coffee House,2h,Male,41,Married partner,0,Bachelors degree,Unemployed,$87500 - $99999,,,,,,,1,1,0,0,1,1
No Urgent Place,Partner,Sunny,80,6PM,Restaurant(<20),2h,Male,41,Married partner,0,Bachelors degree,Unemployed,$87500 - $99999,,,,,,,1,0,0,0,1,1
No Urgent Place,Partner,Sunny,80,6PM,Bar,1d,Male,41,Married partner,0,Bachelors degree,Unemployed,$87500 - $99999,,,,,,,1,1,0,0,1,1
No Urgent Place,Partner,Sunny,80,10AM,Coffee House,2h,Male,26,Unmarried partner,0,Some college - no degree,Computer & Mathematical,$50000 - $62499,,,,,,,1,0,0,0,1,1
No Urgent Place,Partner,Sunny,80,10AM,Restaurant(20-50),1d,Male,26,Unmarried partner,0,Some college - no degree,Computer & Mathematical,$50000 - $62499,,,,,,,1,0,0,0,1,1
No Urgent Place,Partner,Sunny,80,10AM,Bar,2h,Male,26,Unmarried partner,0,Some college - no degree,Computer & Mathematical,$50000 - $62499,,,,,,,1,0,0,0,1,1
No Urgent Place,Partner,Sunny,80,10AM,Coffee House,2h,Male,26,Unmarried partner,0,Some college - no degree,Computer & Mathematical,$50000 - $62499,,,,,,,1,1,0,0,1,0
No Urgent Place,Partner,Sunny,80,6PM,Restaurant(<20),2h,Male,26,Unmarried partner,0,Some college - no degree,Computer & Mathematical,$50000 - $62499,,,,,,,1,0,0,0,1,1
